"state","bill_id","title","session","lastAction","signed","source","id"
"mn","SF 2043","Unmanned aircraft (drones) registration requirement","2017-2018","2017-03-13",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF2043&ssn=0&y=2017","MNB00032736"
"mn","HF 858","Unmanned aircraft registration provided, and registration tax refund provided.","2017-2018","2017-03-07",,"https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0858&ssn=0&y=2017","MNB00029894"
"mn","SF 1529","Law enforcement agencies use of unmanned aerial cameras (drones) to gather evidence under certain circumstances prohibition","2017-2018","2017-02-27",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1529&ssn=0&y=2017","MNB00031599"
"mn","HF 1450","Unmanned aerial vehicle use by law enforcement agencies regulated.","2017-2018","2017-02-20",,"https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF1450&ssn=0&y=2017","MNB00030995"
"mn","SF 1094","Unmanned aerial vehicles (drones) use by law enforcement agencies regulation","2017-2018","2017-02-16",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1094&ssn=0&y=2017","MNB00030609"
"mn","HF 1200","Unmanned aerial camera use by law enforcement agencies to gather evidence prohibited, and civil actions authorized.","2017-2018","2017-02-15",,"https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF1200&ssn=0&y=2017","MNB00030678"
"mn","HF 366","Unmanned aircraft system use to take, harm, or harass wild animals prohibited.","2017-2018","2017-01-26",,"https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0366&ssn=0&y=2017","MNB00028919"
"mn","SF 124","Unmanned aircraft (drones) taking, harming, or harassing wild animals prohibition","2017-2018","2017-01-17",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF0124&ssn=0&y=2017","MNB00028707"
"ny","S 8936","Relates to regulating the use of unmanned aircraft in the state","2017-2018","2018-06-06",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/S8936?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/S8936|http://assembly.state.ny.us/leg/?default_fld=&bn=S8936&Summary=Y&Actions=Y&Text=Y|","NYB00122766"
"ny","A 10625","Relates to regulating the use of unmanned aircraft in the state","2017-2018","2018-05-09",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A10625?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A10625|http://assembly.state.ny.us/leg/?default_fld=&bn=A10625&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A10625&term=2017&Floor%26nbspVotes=Y|","NYB00120669"
